gameID,season,date,homeGoals,awayGoals,homeGoalsHalfTime,awayGoalsHalfTime
143,2015,2015-09-26 18:00:00,2,1,1,0
144,2015,2015-09-26 18:00:00,2,5,1,2
145,2015,2015-09-26 18:00:00,3,2,1,0
146,2015,2015-09-26 18:00:00,3,0,1,0
147,2015,2015-09-26 18:00:00,2,2,1,1
148,2015,2015-09-26 20:30:00,2,2,1,0
149,2015,2015-09-27 19:00:00,0,1,0,0
150,2015,2015-09-28 23:00:00,2,3,1,0
151,2015,2015-10-03 15:45:00,2,0,0,0
152,2015,2015-10-03 18:00:00,0,1,0,0
153,2015,2015-10-03 18:00:00,1,1,1,1
154,2015,2015-10-03 18:00:00,6,1,1,1
155,2015,2015-10-03 18:00:00,1,2,0,1
156,2015,2015-10-03 18:00:00,2,2,2,1
157,2015,2015-10-03 20:30:00,1,3,1,1
158,2015,2015-10-04 16:30:00,1,1,1,1
159,2015,2015-10-04 19:00:00,2,2,2,1
160,2015,2015-10-04 19:00:00,3,0,3,0
161,2015,2015-10-17 15:45:00,0,0,0,0
162,2015,2015-10-17 18:00:00,2,2,2,0
163,2015,2015-10-17 18:00:00,1,0,0,0
164,2015,2015-10-17 18:00:00,2,0,1,0
165,2015,2015-10-17 18:00:00,1,3,1,1
166,2015,2015-10-17 18:00:00,0,3,0,2
167,2015,2015-10-17 18:00:00,5,1,4,1
168,2015,2015-10-17 20:30:00,0,3,0,0
169,2015,2015-10-18 19:00:00,6,2,3,2
170,2015,2015-10-19 23:00:00,0,1,0,1
171,2015,2015-10-24 18:00:00,1,2,0,0
172,2015,2015-10-24 18:00:00,1,0,0,0
173,2015,2015-10-24 18:00:00,2,1,1,0
174,2015,2015-10-24 18:00:00,0,1,0,0
175,2015,2015-10-24 18:00:00,0,2,0,1
176,2015,2015-10-24 20:30:00,2,1,2,1
177,2015,2015-10-25 16:00:00,3,0,1,0
178,2015,2015-10-25 18:05:00,1,5,1,3
179,2015,2015-10-25 18:05:00,0,0,0,0
180,2015,2015-10-25 20:15:00,1,1,0,0
181,2015,2015-10-31 16:45:00,1,3,1,1
182,2015,2015-10-31 19:00:00,0,0,0,0
183,2015,2015-10-31 19:00:00,2,1,0,0
184,2015,2015-10-31 19:00:00,0,0,0,0
185,2015,2015-10-31 19:00:00,0,3,0,0
186,2015,2015-10-31 19:00:00,2,0,1,0
